Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
1283.6,176.67,10.46,-18.26
1286.67,176.63,10.46,-18.29
1292.52,176.57,10.46,-18.33
1298.05,176.52,10.46,-18.39
1303.39,176.48,10.46,-18.44
1308.81,176.43,10.46,-18.48
1314.58,176.39,10.46,-18.53
1320.67,176.34,10.46,-18.57
1323.7,176.33,10.46,-18.62
1329.65,176.3,10.46,-18.63
1335.46,176.26,10.46,-18.66
1341.16,176.23,10.46,-18.7
1346.84,176.22,10.46,-18.73
1352.47,176.23,10.46,-18.74
1358.16,176.26,10.47,-18.74
1364.0,176.29,10.5,-18.74
1369.96,176.33,10.53,-18.74
1373.0,176.35,10.57,-18.74
1376.07,176.38,10.59,-18.74
1379.19,176.4,10.62,-18.74
1382.34,176.42,10.64,-18.74
1385.58,176.45,10.66,-18.74
1388.81,176.48,10.69,-18.74
1392.07,176.51,10.72,-18.74
1395.31,176.54,10.75,-18.74
1398.5,176.57,10.78,-18.74
1401.67,176.6,10.81,-18.74
1404.73,176.63,10.84,-18.74
1410.31,176.69,10.87,-18.74
1415.34,176.74,10.93,-18.74
1420.57,176.8,10.98,-18.74
1426.38,176.87,11.04,-18.74
1429.51,176.91,11.11,-18.74
1432.79,176.95,11.15,-18.74
1436.08,177.0,11.19,-18.74
1439.35,177.01,11.24,-18.74
1442.63,176.94,11.25,-18.74
1445.95,176.88,11.25,-18.81
1449.32,176.81,11.25,-18.87
1452.76,176.74,11.25,-18.94
1456.18,176.67,11.25,-19.01
1459.6,176.6,11.25,-19.08
1462.92,176.54,11.25,-19.15
1466.21,176.47,11.25,-19.21
1469.46,176.4,11.25,-19.28
1472.73,176.33,11.25,-19.35
1476.01,176.26,11.25,-19.42
1479.26,176.19,11.25,-19.49
1482.43,176.12,11.25,-19.56
1485.62,176.05,11.25,-19.63
1488.84,175.98,11.25,-19.7
1492.17,175.91,11.25,-19.77
1495.57,175.84,11.25,-19.84
